user_id,cohort_id,educational_status,session_count,approved_projects
567,53,GRADUATED,,
568,60,ACTIVE,,
569,60,ACTIVE,,
570,60,ACTIVE,,
571,61,ACTIVE,,
571,43,ACTIVE,,
572,61,ACTIVE,,
572,43,ACTIVE,,
573,61,ACTIVE,,
574,61,ACTIVE,,
575,61,ACTIVE,,
575,43,ACTIVE,,
576,60,ACTIVE,,
577,65,ACTIVE,,
578,60,ACTIVE,,
579,60,ACTIVE,,
580,60,ACTIVE,,
581,60,ACTIVE,,
582,61,GRADUATED,,
582,63,GRADUATED,,
582,79,GRADUATED,,
583,50,GRADUATED,,
584,60,GRADUATED,,
584,57,GRADUATED,,
584,52,GRADUATED,,
585,61,ACTIVE,,
585,43,ACTIVE,,
586,61,ACTIVE,,
586,44,ACTIVE,,
587,60,GRADUATED,,
574,43,POSTPONED,,
527,61,DROPPED,,
587,57,GRADUATED,,
528,61,DROPPED,,
588,60,ACTIVE,,
589,60,ACTIVE,,
590,61,ACTIVE,,
590,43,ACTIVE,,
591,61,ACTIVE,,
591,43,ACTIVE,,
592,60,GRADUATED,,
592,52,GRADUATED,,
593,61,ACTIVE,,
593,43,ACTIVE,,
594,63,ACTIVE,,
595,61,GRADUATED,,
596,60,GRADUATED,,
596,52,GRADUATED,,
596,55,GRADUATED,,
597,60,ACTIVE,,
598,61,ACTIVE,,
599,60,ACTIVE,,
600,60,ACTIVE,,
601,60,GRADUATED,,
601,53,GRADUATED,,
602,60,ACTIVE,,
603,60,POSTPONED,,
603,92,POSTPONED,,
604,60,GRADUATED,,
604,54,GRADUATED,,
604,75,GRADUATED,,
605,60,GRADUATED,,
605,52,GRADUATED,,
606,60,GRADUATED,1,
606,93,GRADUATED,1,
607,60,ACTIVE,,
608,60,ACTIVE,,
609,60,ACTIVE,,
610,60,ACTIVE,,
611,60,ACTIVE,,
612,60,POSTPONED,,
612,52,POSTPONED,,
613,60,ACTIVE,3,3
614,60,GRADUATED,,
614,55,GRADUATED,,
615,60,ACTIVE,,
616,60,ACTIVE,,
617,60,ACTIVE,,
618,60,ACTIVE,,
619,63,ACTIVE,,
619,71,ACTIVE,,
620,62,ACTIVE,,
620,61,ACTIVE,,
621,61,ACTIVE,,
622,61,ACTIVE,,
622,44,ACTIVE,,
623,61,ACTIVE,,
624,61,ACTIVE,,
624,60,ACTIVE,,
624,63,ACTIVE,,
625,61,ACTIVE,,
626,66,ACTIVE,,
626,67,ACTIVE,,
627,66,ACTIVE,,
627,67,ACTIVE,,
628,66,ACTIVE,,
628,67,ACTIVE,,
629,66,ACTIVE,,
629,73,ACTIVE,,
630,67,ACTIVE,,
630,66,ACTIVE,,
631,66,ACTIVE,,
631,67,ACTIVE,,
632,66,ACTIVE,,
632,67,ACTIVE,,
633,66,ACTIVE,,
633,67,ACTIVE,,
634,60,ACTIVE,,
635,60,ACTIVE,,
636,60,ACTIVE,,
637,60,ACTIVE,,
638,60,ACTIVE,,
639,60,ACTIVE,,
640,60,GRADUATED,,
640,58,GRADUATED,,
641,60,ACTIVE,,
642,60,ACTIVE,,
643,60,ACTIVE,,
644,60,ACTIVE,,
645,60,ACTIVE,,
646,60,ACTIVE,,
647,60,ACTIVE,,
648,60,ACTIVE,,
649,60,ACTIVE,,
650,61,ACTIVE,,
650,44,ACTIVE,,
651,60,GRADUATED,,
651,53,GRADUATED,,
652,66,ACTIVE,,
652,67,ACTIVE,,
653,66,ACTIVE,,
653,72,ACTIVE,,
654,66,ACTIVE,,
654,67,ACTIVE,,
656,61,ACTIVE,2,
